FEMA No. and Substance,Beverages (ppm),Density
"2508 *GERANIUM, ROSE, OIL",1.6,0.9
2509 GERANYL ACETATE,1.6,0.913
2510 GERANYL ACETOACETATE,0.5,0.935
2511 GERANYL BENZOATE,0.13,1
2512 GERANYL BUTYRATE,1.6,0.89
2513 GERANYL iso-BUTYRATE,1,0.892
2514 GERANYL FORMATE,1.9,0.917
2515 GERANYL HEXANOATE,1.3,0.875
2516 GERANYL PHENYLACETATE,1.1,0.985
2517 GERANYL PROPIONATE,1.5,0.904
2518 GERANYL iso-VALERATE,4.2,0.887
"2519 *GHATTI, GUM",100,1
2520 *GINGER,44,1
"2521 *GINGER, EXTRACT",65,1
"2522 *GINGER, OIL",17,0.895
"2523 *GINGER, OLEORESIN",79,1.05
2524 GLUCOSE PENTAACETATE,100,1.32
2525 GLYCEROL,570,1.261
2526 GLYCERYL MONOOLEATE,15,0.95
2527 GLYCERYL MONOSTEARATE,-,0.95
"2528 GLYCYRRHIZIN, AMMONIATED",51,1.4
2529 *GRAINS OF PARADISE,43,1
"2530 *GRAPEFRUIT, OIL",160,0.859
"2531 GUAIAC GUM, EXTRACT",600,1
2532 GUAIACOL,0.95,1.118
"2533 GUAIAC WOOD, EXTRACT",760,1
"2534 GUAIAC WOOD, OIL",1.1,0.975
2535 GUAIACYL PHENYLACETATE,0.38,1.15
"2536 GUARANA, GUM",12,1.3
"2537 GUAR, GUM",100,1.5
"2538 HAW BARK, BLACK, EXTRACT",6,1
"3034 HEMLOCK, OIL (See SPRUCE, OIL)",-,1
2539 gamma-HEPTALACTONE,18,1.006
2540 HEPTANAL,4.9,0.82
2541 HEPTANAL DIMETHYL ACETAL,0.13,0.835
2542 HEPTANAL GLYCERYL ACETAL,5,1.02
"2543 2,3-HEPTANEDIONE",0.96,0.885
2544 2-HEPTANONE,2.7,0.817
2545 3-HEPTANONE,2,0.82
2546 4-HEPTANONE,7.8,0.82
2547 HEPTYL ACETATE,4.1,0.865
2548 HEPTYL ALCOHOL,0.9,0.822
2549 HEPTYL BUTYRATE,0.66,0.875
2550 HEPTYL iso-BUTYRATE,1.2,0.864
2551 HEPTYL CINNAMATE,3.3,0.965
2552 HEPTYL FORMATE,1.7,0.875
2553 HEPTYL OCTANOATE,1,0.86
2554 1-HEXADECANOL,-,0.817
2555 omega-6-HEXADECENLACTONE,0.32,0.92
2556 gamma-HEXALACTONE,7,1.022
2557 HEXANAL,1.3,0.815
"2558 2,3-HEXANEDIONE",6.6,0.92
2559 HEXANOIC ACID,1.8,0.927
2560 2-HEXENAL,3.1,0.852
2561 cis-3-HEXENAL,0.2,0.844
2562 2-HEXEN-1-OL,1,0.848
2563 3-HEXEN-1-OL,1,0.85
2564 2-HEXEN-1-YL ACETATE,0.28,0.887
2565 HEXYL ACETATE,4.6,0.875
2566 2-HEXYL-4-ACETOXYTETRAHYDROFURAN,1,0.985
2567 HEXYL ALCOHOL,6.6,0.817
2568 HEXYL BUTYRATE,2.6,0.871
2569 a-HEXYLCINNAMALDEHYDE,0.8,0.965
2570 HEXYL FORMATE,12,0.885
2571 HEXYL 2-FUROATE,-,1
2572 HEXYL HEXANOATE,3,0.87
2573 2-HEXYLIDENE CYCLOPENTANONE,1,0.91
"2574 2-HEXYL-5 or 6-KETO-1,4-DIOXANE",-,1.02
2575 HEXYL OCTANOATE,1,0.865
2576 HEXYL PROPIONATE,5.7,0.87
"2577 *HICKORY BARK, EXTRACT",40,1
"2578 *HOPS, EXTRACT",160,1
"2579 *HOPS, EXTRACT SOLID",8,1
"2580 *HOPS, OIL",1.7,0.885
"2581 *HOREHOUND, EXTRACT",8.7,1
"2582 *HORSEMINT LEAVES, EXTRACT",600,1
2583 HYDROXYCITRONELLAL,3.5,0.938
2584 HYDROXYCITRONELLAL DIETHYL ACETAL,2.7,0.915
2585 HYDROXYCITRONELLAL DIMETHYL ACETAL,10,0.935
2586 HYDROXYCITRONELLOL,2,0.935
2587 5-HYDROXY-4-OCTANONE,5,0.96
2588 4-(p-HYDROXYPHENYL)-2-BUTANONE,16,1.16
2589 *HYSSOP,-,1
"2590 *HYSSOP, EXTRACT",13,1
"2591 *HYSSOP, OIL",4.7,0.93
"2592 *IMMORTELLE, EXTRACT",5.2,1
2593 INDOLE,0.26,1.17
2594 a-IONONE,2.5,0.94
2595 B-IONONE,1.6,0.948
"2596 *IRISH MOSS, EXTRACT",300,1
2597 a-IRONE,1.2,0.94
"2598 *JASMINE, ABSOLUTE",0.41,1
"2599 *JASMINE, CONCRETE",0.7,1
"2600 *JASMINE, OIL",0.63,0.985
"2601 *JASMINE, SPIRITUS",1,1
2602 *JUNIPER BERRIES,-,1
"2603 *JUNIPER, EXTRACT",53,1
"2604 *JUNIPER, OIL",32,0.875
"2605 *KARAYA, GUM",13,1.49
2606 *KELP,-,1
"2607 *KOLA NUT, EXTRACT",120,1
"2608 LABDANUM, ABSOLUTE",2.8,1.04
"2609 LABDANUM, OIL",0.41,0.945
"2610 LABDANUM, OLEORESIN",2.7,1
2611 LACTIC ACID,34,1.21
2612 *LAUREL BERRIES,450,1
"2613 *LAUREL LEAVES, EXTRACT",-,1
2614 LAURIC ACID,15,0.88
2615 LAURIC ALDEHYDE,0.93,0.835
2616 LAURYL ACETATE,2.3,0.865
2617 LAURYL ALCOHOL,2,0.835
"2618 *LAVANDIN, OIL",5.5,0.893
2619 *LAVENDER,0.08,1
"2620 *LAVENDER, ABSOLUTE",7.5,1
"2621 *LAVENDER, CONCRETE",0.2,1
"2622 *LAVENDER, OIL",2.9,0.894
"2623 *LEMON, EXTRACT","1,000.00",1
"2624 *LEMON-GRASS, OIL",4.4,0.908
"2625 *LEMON, OIL",230,0.856
"2626 *LEMON, OIL, TERPENELESS",13,0.895
2627 LEVULINIC ACID,14,1.15
"2628 *LICORICE, EXTRACT",33,1
"2629 *LICORICE, EXTRACT POWDER",110,1
2630 *LICORICE ROOT,130,1
"2631 *LIME, OIL",130,0.882
"2632 *LIME, OIL, TERPENELESS",15,0.9
2633 d-LIMONENE,31,0.846
"2634 LINALOE WOOD, OIL",4.3,0.883
2635 LINALOOL,2,0.875
2636 LINALYL ACETATE,1.9,0.905
2637 LINALYL ANTHRANILATE,1.8,1.08
2638 LINALYL BENZOATE,0.31,1
2639 LINALYL BUTYRATE,1.2,0.89
2640 LINALYL iso-BUTYRATE,1.7,0.89
2641 LINALYL CINNAMATE,0.57,1.005
2642 LINALYL FORMATE,1.3,0.916
2643 LINALYL HEXANOATE,3.2,0.885
2644 LINALYL OCTANOATE,1.3,0.875
2645 LINALYL PROPIONATE,4.9,0.897
2646 LINALYL iso-VALERATE,0.96,0.887
2647 *LINDEN FLOWERS,"2,000.00",1
"2648 *LOCUST, GUM","2,900.00",1.6
2649 LOVAGE,30,1
"2650 LOVAGE, EXTRACT",8.8,1
"2651 LOVAGE, OIL",1.3,0.986
2652 *MACE,350,1
"2653 *MACE, OIL",6,0.92
"2654 *MACE, OLEORESIN",-,1.05
2655 l-MALIC ACID,380,1.609
2656 MALTOL,4.1,1.35
"2657 *MANDARIN, OIL",62,0.855
"2658 *MARIGOLD, POT",11,1
"2659 *MARJORAM, OLEORESIN",-,1
"2660 *MARJORAM, POT",-,1
2661 *MARJORAM SEED,750,1
"2662 *MARJORAM, SWEET",1.9,1
"2663 *MARJORAM, SWEET, OIL",4.2,0.9
"2664 p-MENTHA-1,8-DIEN-7-OL",1,0.925
2665 MENTHOL,35,0.89
2666 (d)-neo-MENTHOL,10,0.89
2667 MENTHONE,7.7,0.905
2668 MENTHYL ACETATE,5.5,0.93
2669 MENTHYL iso-VALERATE,5,0.91
2670 p-METHOXYBENZALDEHYDE,6.3,1.13
2671 2-METHOXY-4-METHYLPHENOL,21,1.07
2672 4-(p-METHOXYPHENYL)-2-BUTANONE,12,1.066
2673 1-(p-METHOXYPHENYL)-1-PENTEN-3-ONE,2.3,1.04
2674 1-(p-METHOXYPHENYL)-2-PROPANONE,2.8,1.085
2675 2-METHOXY-4-VINYLPHENOL,3,1.08
2676 METHYL ACETATE,28,0.938
2677 4-METHYL ACETOPHENONE,1.1,1.005
2678 2-METHYLALLYL BUTYRATE,0.2,0.875
2679 METHYL ANISATE,2.7,1.11
2680 o-METHYLANISOLE,1.7,1.005
2681 p-METHYLANISOLE,2.7,0.97
2682 METHYL ANTHRANILATE,16,1.17
2683 METHYL BENZOATE,2.2,1.09
2684 a-METHYLBENZYL ACETATE,3.9,1.035
2685 a-METHYLBENZYL ALCOHOL,4.6,1.015
2686 a-METHYLBENZYL BUTYRATE,5,0.995
2687 a-METHYLBENZYL iso-BUTYRATE,2,0.985
2688 a-METHYLBENZYL FORMATE,5,1.06
2689 a-METHYLBENZYL PROPIONATE,5,1.015
2690 METHYL p-tert-BUTYLPHENYLACETATE,0.5,1.03
2691 2-METHYLBUTYRALDEHYDE,2,0.805
2692 3-METHYLBUTYRALDEHYDE,0.63,0.795
2693 METHYL BUTYRATE,17,0.898
2694 METHYL iso-BUTYRATE,22,0.89
2695 2-METHYLBUTYRIC ACID,0.5,0.937
2696 METHYL CELLULOSE,90,1.39
2697 a-METHYLCINNAMALDEHYDE,11,1.05
2698 METHYL CINNAMATE,1.9,1.096
2699 6-METHYLCOUMARIN,5.2,1.3
2700 METHYLCYCLOPENTENOLONE,11,1.14
"2701 4-(3,4-METHYLENEDIOXYPHENYL)-2-BUTANONE",8.2,1.15
2702 5-METHYLFURFURAL,0.13,1.14
2703 METHYL 2-FUROATE,0.61,1.173
2704 2-METHYL-3-FURYLACROLEIN,0.6,1.11
2705 METHYL HEPTANOATE,0.8,0.88
2706 2-METHYLHEPTANOIC ACID,1,0.91
2707 6-METHYL-5-HEPTEN-2-ONE,1.1,0.85
2708 METHYL HEXANOATE,4.1,0.885
2709 METHYL 2-HEXENOATE,0.12,0.93
2710 METHYL p-HYDROXYBENZOATE,5,1.41
2711 METHYL-a-IONONE,1.7,0.935
2712 METHYL-B-IONONE,2,0.942
2713 METHYL-delta-IONONE,0.61,0.935
2714 a-iso-METHYLIONONE,0.97,0.93
2715 METHYL LAURATE,5,0.871
2716 METHYL MERCAPTAN,0.56,0.87
2717 METHYL o-METHOXYBENZOATE,12,1.135
2718 METHYL N-METHYLANTHRANILATE,5.1,1.125
2719 METHYL 2-METHYLBUTYRATE,5,0.895
2720 METHYL 2-METHYLTHIOPROPIONATE,0.35,1.035
2721 METHYL 4-METHYLVALERATE,11,0.87
2722 METHYL MYRISTATE,0.5,0.865
2723 METHYL B-NAPHTHYL KETONE,0.5,1.17
2724 METHYL NONANOATE,3.9,0.875
2725 METHYL 2-NONENOATE,3.2,0.893
2726 METHYL 2-NONYNOATE,0.69,0.908
2727 2-METHYLOCTANAL,1,0.83
2728 METHYL OCTANOATE,1,0.878
2729 METHYL 2-OCTYNOATE,0.15,0.91
"2730 4-METHYL-2,3-PENTANEDIONE",7.6,0.94
2731 4-METHYL-2-PENTANONE,6.3,0.8
2732 p-METHYLPHENETHYL ALCOHOL,1.1,0.992
2733 METHYL PHENYLACETATE,3.9,1.066
2734 3-METHYL-4-PHENYL-3-BUTENE-2-ONE,0.59,1.05
2735 2-METHYL-4-PHENYL-2-BUTYL ACETATE,1.8,0.985
2736 2-METHYL-4-PHENYL-2-BUTYL iso-BUTYRATE,11,0.957
2737 2-METHYL-4-PHENYLBUTYRALDEHYDE,0.02,1
2738 3-METHYL-2-PHENYLBUTYRALDEHYDE,0.1,0.97
2739 METHYL 4-PHENYLBUTYRATE,0.56,1.025
2740 4-METHYL-1-PHENYL-2-PENTANONE,1,0.985
2741 METHYL 3-PHENYLPROPIONATE,0.46,1.05
2742 METHYL PROPIONATE,20,0.918
2743 2-METHYL-3-(p-iso-PROPYLPHENYL) PROPIONALDEHYDE,0.3,0.95
2744 4-METHYLQUINOLINE,0.22,1.07
2745 METHYL SALICYLATE,59,1.185
2746 METHYL SULFIDE,1.1,0.84
2747 2-METHYL THIOPROPIONALDEHYDE,0.35,1.01
2748 2-METHYL-3-TOLYL PROPIONALDEHYDE,0.05,1.015
2749 2-METHYLUNDECANAL,0.31,0.84
2750 METHYL 9-UNDECENOATE,3.7,0.875
2751 METHYL 2-UNDECYNOATE,5,0.88
2752 METHYL VALERATE,9.1,0.892
2753 METHYL iso-VALERATE,9.3,0.88
2754 2-METHYLVALERIC ACID,-,0.92
"2755 MIMOSA, ABSOLUTE",0.79,1.01
2756 MONOSODIUM GLUTAMATE,-,1.62
"2757 MOUNTAIN MAPLE, EXTRACT SOLID",100,1
2758 MUSK AMBRETTE,0.43,1.19
2759 *MUSK TONQUIN,0.67,1
"2760 *MUSTARD, BROWN",-,1
"2761 *MUSTARD, YELLOW",350,1
2762 MYRCENE,4.4,0.796
2763 MYRISTALDEHYDE,2.7,0.83
2764 MYRISTIC ACID,5.3,0.862
"2765 MYRRH, GUM",84,1.2
"2766 MYRRH, OIL",3.3,1.015
2767 B-NAPHTHYL ANTHRANILATE,2.3,1.2
2768 B-NAPHTHYL ETHYL ETHER,0.65,1.1
"2769 *NARINGEN, EXTRACT",71,1
2770 NEROL,1.4,0.88
"2771 *NEROLI BIGARDE, OIL",2,0.88
2772 NEROLIDOL,0.91,0.88
2773 NERYL ACETATE,1.3,0.908
2774 NERYL BUTYRATE,6.2,0.89
2775 NERYL iso-BUTYRATE,1.2,0.89
2776 NERYL FORMATE,5.3,0.91
2777 NERYL PROPIONATE,6.3,0.9
2778 NERYL iso-VALERATE,0.97,0.89
2779 *NITROUS OXIDE,-,1
"2780 2,6-NONADIEN-1-OL",0.01,0.855
2781 gamma-NONALACTONE,11,0.966
2782 NONANAL,1.3,0.825
"2783 1,3-NONANEDIOL ACETATE",1,0.99
2784 NONANOIC ACID,1.8,0.918
2785 2-NONANONE,0.55,0.825
2786 3-NONANON-1-YL ACETATE,0.3,0.905
2787 NONANOYL 4-HYDROXY-3-METHOXYBENZYLAMIDE,-,1.2
2788 NONYL ACETATE,0.81,0.871
2789 NONYL ALCOHOL,0.7,0.83
2790 NONYL OCTANOATE,2,0.865
2791 NONYL iso-VALERATE,1,0.865
2792 *NUTMEG,700,1
"2793 *NUTMEG, OIL",14,0.925
"2794 OAK CHIPS, EXTRACT",21,1
"2795 OAK MOSS, ABSOLUTE",1.8,1.05
2796 gamma-OCTALACTONE,4.8,0.985
2797 OCTANAL,1.4,0.825
2798 OCTANAL DIMETHYL ACETAL,0.74,0.84
2799 OCTANOIC ACID,2.9,0.91
2800 1-OCTANOL,2.9,0.83
2801 2-OCTANOL,-,0.82
2802 2-OCTANONE,1,0.825
2803 3-OCTANONE,3.3,0.825
2804 3-OCTANON-1-OL,0.2,0.9
2805 1-OCTEN-3-OL,0.2,0.84
2806 OCTYL ACETATE,1.6,0.875
2807 OCTYL BUTYRATE,0.59,0.875
2808 OCTYL iso-BUTYRATE,2,0.865
2809 OCTYL FORMATE,1,0.875
2810 OCTYL HEPTANOATE,1,0.865
2811 OCTYL OCTANOATE,1,0.86
2812 OCTYL PHENYLACETATE,1.3,0.985
2813 OCTYL PROPIONATE,0.84,0.87
2814 OCTYL iso-VALERATE,0.9,0.865
2815 OLEIC ACID,0.4,0.895
"2816 OLIBANUM, OIL",0.6,0.888
"2817 *ONION, OIL",0.5,1.15
"2818 *ORANGE BLOSSOMS, ABSOLUTE",1.7,1
2819 *ORANGE FLOWERS,"2,000.00",1
"2820 *ORANGE LEAF, ABSOLUTE",0.02,1
"2821 *ORANGE, OIL, DISTILLED",130,0.844
"2822 *ORANGE, OIL, TERPENELESS",10,0.88
"2823 *ORANGE PEEL, BITTER, OIL",67,0.85
"2824 *ORANGE PEEL, SWEET, EXTRACT",99,1
"2825 *ORANGE PEEL, SWEET, OIL",210,0.846
"2826 *ORANGE PEEL, SWEET, OIL, TERPENELESS",43,0.88
2827 *OREGANO,320,1
"2828 *ORIGANUM, OIL",0.5,0.96
"2829 ORRIS, CONCRETE, LIQUID, OIL",1.7,0.935
"2830 ORRIS ROOT, EXTRACT",9.2,1
"2831 *PALMAROSA, OIL",4.2,0.895
2832 PALMITIC ACID,-,0.852
2833 *PAPRIKA,-,1
"2834 *PAPRIKA, OLEORESIN",25,1.05
2835 *PARSLEY,3000,1
"2836 *PARSLEY, OIL",1.4,0.9
"2837 *PARSLEY, OLEORESIN",-,1.05
"2838 PATCHOULY, OIL",0.88,0.975
"2839 PENNYROYAL, OIL",5,0.945
2840 omega-PENTADECALACTONE,0.27,0.95
"2841 2,3-PENTANEDIONE",0.6,0.965
2842 2-PENTANONE,13,0.81
2843 4-PENTENOIC ACID,1,0.96
"2844 *PEPPER, BLACK",30,1
"2845 *PEPPER, BLACK, OIL",2.7,0.885
"2846 *PEPPER, BLACK, OLEORESIN",15,1.05
2847 *PEPPERMINT LEAVES,-,1
"2848 *PEPPERMINT, OIL",99,0.91
"2849 *PEPPER, RED",240,1
"2850 *PEPPER, WHITE",140,1
"2851 *PEPPER, WHITE, OIL",-,0.885
"2852 *PEPPER, WHITE, OLEORESIN",-,1.05
"2853 *PETITGRAIN, LEMON, OIL",8.6,0.89
"2854 *PETITGRAIN, MANDARIN, OIL",4.3,0.87
"2855 *PETITGRAIN, OIL",1.5,0.9
2856 a-PHELLANDRENE,10,0.85
2857 PHENETHYL ACETATE,1.4,1.035
2858 PHENETHYL ALCOHOL,1.5,1.02
2859 PHENETHYL ANTHRANILATE,1.4,1.15
2860 PHENETHYL BENZOATE,1,1.07
2861 PHENETHYL BUTYRATE,3.2,1
2862 PHENETHYL iso-BUTYRATE,3.4,0.995
2863 PHENETHYL CINNAMATE,1.7,1.07
2864 PHENETHYL FORMATE,1.3,1.06
2865 PHENETHYL 2-FUROATE,0.03,1.135
2866 PHENETHYL PHENYLACETATE,2.3,1.085
2867 PHENETHYL PROPIONATE,3.6,1.02
2868 PHENETHYL SALICYLATE,0.75,1.16
2869 PHENETHYL SENECIOATE,-,1.02
2870 PHENETHYL TIGLATE,0.9,1.015
2871 PHENETHYL iso-VALERATE,1.3,0.995
2872 PHENOXYACETIC ACID,0.37,1.27
2873 2-PHENOXYETHYL iso-BUTYRATE,5,1.035
2874 PHENYLACETALDEHYDE,0.68,1.037
"2875 PHENYLACETALDEHYDE 2,3-BUTYLENE GLYCOL ACETAL",-,1.1
2876 PHENYLACETALDEHYDE DIMETHYL ACETAL,0.4,1
2877 PHENYLACETALDEHYDE GLYCERYL ACETAL,5,1.2
2878 PHENYLACETIC ACID,1.8,1.08
2879 4-PHENYL-2-BUTANOL,0.9,1.005
2880 4-PHENYL-3-BUTEN-2-OL,2,1.02
2881 4-PHENYL-3-BUTEN-2-ONE,0.82,1.045
2882 4-PHENYL-2-BUTYL ACETATE,3,1
2883 1-PHENYL-3-METHYL-3-PENTANOL,0.16,0.97
2884 1-PHENYL-1-PROPANOL,0.5,0.99
2885 3-PHENYL-1-PROPANOL,0.73,1
2886 2-PHENYLPROPIONALDEHYDE,0.61,1.02
2887 3-PHENYLPROPIONALDEHYDE,1,1.055
2888 2-PHENYLPROPIONALDEHYDE DIMETHYL ACETAL,0.26,0.99
2889 3-PHENYLPROPIONIC ACID,1,1.07
2890 3-PHENYLPROPYL ACETATE,3.2,1.05
2891 2-PHENYLPROPYL BUTYRATE,1,0.975
2892 2-PHENYLPROPYL iso-BUTYRATE,5,0.975
2893 3-PHENYLPROPYL iso-BUTYRATE,1.3,1.01
2894 3-PHENYLPROPYL CINNAMATE,3.4,1.11
2895 3-PHENYLPROPYL FORMATE,1.3,1.07
2896 3-PHENYLPROPYL HEXANOATE,0.67,0.995
2897 3-PHENYLPROPYL PROPIONATE,0.49,1.035
2898 2-(3-PHENYLPROPYL)-TETRAHYDROFURAN,0.5,1
2899 3-PHENYLPROPYL iso-VALERATE,0.9,1.01
2900 PHOSPHORIC ACID,510,1.7
"2901 *PIMENTA LEAF, OIL",2.8,1.055
2902 a-PINENE,54,0.863
2903 B-PINENE,16,0.875
"2904 PINE NEEDLE, DWARF, OIL",0.39,0.885
"2905 PINE NEEDLE, OIL",1.5,0.935
"2906 PINE, SCOTCH, OIL",6,0.875
"2907 PINE TAR, OIL",-,0.99
2908 PIPERIDINE,3,0.862
2909 PIPERINE,0.01,1.193
2910 d-PIPERITONE,11,0.935
2911 PIPERONAL,6,1.2
2912 PIPERONYL ACETATE,50,1.185
2913 PIPERONYL iso-BUTYRATE,1,1.14
"2914 *PIPSISSEWA LEAVES, EXTRACT",41,1
2915 POLYSORBATE 20,180,1.105
2916 POLYSORBATE 60,110,1.1
2917 POLYSORBATE 80,170,1.1
"2918 *POMEGRANATE BARK, EXTRACT",-,1
2919 *POPPY SEED,-,1
2920 POTASSIUM ACETATE,1.5,1.57
2921 POTASSIUM SORBATE,110,1.36
2922 PROPENYLGUAETHOL,5.9,1.1
2923 PROPIONALDEHYDE,3.9,0.807
2924 PROPIONIC ACID,5.8,0.992
2925 PROPYL ACETATE,4,0.89
2926 iso-PROPYL ACETATE,16,0.875
2927 p-iso-PROPYLACETOPHENONE,0.08,0.985
2928 PROPYL ALCOHOL,5,0.803
2929 iso-PROPYL ALCOHOL,25,0.785
2930 p-PROPYL ANISOLE,4.3,0.935
2931 PROPYL BENZOATE,11,1.035
2932 iso-PROPYL BENZOATE,0.5,1.015
2933 p-iso-PROPYLBENZYL ALCOHOL,11,0.975
2934 PROPYL BUTYRATE,6.8,0.875
2935 iso-PROPYL BUTYRATE,9.7,0.87
2936 PROPYL iso-BUTYRATE,6.8,0.865
2937 iso-PROPYL iso-BUTYRATE,25,0.855
2938 PROPYL CINNAMATE,2.6,1.035
2939 iso-PROPYL CINNAMATE,0.52,1.02
2940 PROPYLENE GLYCOL,690,1.038
2941 PROPYLENE GLYCOL ALGINATE,200,1.5
2942 PROPYLENE GLYCOL STEARATE,-,0.92
2943 PROPYL FORMATE,20,0.9
2944 iso-PROPYL FORMATE,25,0.875
2945 PROPYL 2-FURANACRYLATE,3,1.08
2946 PROPYL 2-FUROATE,-,1.075
2947 PROPYL GALLATE,0.08,1.21
2948 PROPYL HEPTANOATE,3.8,0.87
2949 PROPYL HEXANOATE,2.2,0.875
2950 iso-PROPYL HEXANOATE,0.5,0.865
2951 PROPYL p-HYDROXYBENZOATE,32,1.28
2952 3-PROPYLIDENEPHTHALIDE,-,1.11
2953 a-PROPYLPHENETHYL ALCOHOL,1,0.97
2954 p-iso-PROPYLPHENYLACETALDEHYDE,0.1,0.99
2955 PROPYL PHENYLACETATE,1,1.025
2956 iso-PROPYL PHENYLACETATE,0.5,1.01
2957 3-(p-iso-PROPYL)PHENYL PROPIONALDEHYDE,0.8,0.985
2958 PROPYL PROPIONATE,6,0.885
2959 iso-PROPYL PROPIONATE,9.7,0.87
2960 PROPYL iso-VALERATE,5,0.865
2961 iso-PROPYL iso-VALERATE,3.4,0.85
2962 iso-PULEGOL,7.4,0.9
2963 PULEGONE,8,0.965
2964 iso-PULEGONE,4,0.955
2965 iso-PULEGYL ACETATE,5.8,0.92
2966 PYRIDINE,1,0.985
2967 PYROLIGNEOUS ACID,10,1.07
"2968 PYROLIGNEOUS ACID, EXTRACT",-,1
2969 PYRUVALDEHYDE,1,1.085
2970 PYRUVIC ACID,0.25,1.272
"2971 QUASSIA, EXTRACT",3.4,1
"2972 QUEBRACHO BARK, EXTRACT",11,1
2973 QUILLAIA,95,1
"2974 *QUINCE SEED, EXTRACT",40,1
2975 QUININE BISULFATE,100,1.45
2976 QUININE HYDROCHLORIDE,110,1.38
2977 QUININE SULFATE,100,1.43
2978 iso-QUINOLINE,0.25,1.09
"2979 RHATANY, EXTRACT",11,1
2980 RHODINOL,2,0.885
2981 RHODINYL ACETATE,2.8,0.91
2982 RHODINYL BUTYRATE,0.94,0.895
2983 RHODINYL iso-BUTYRATE,1.1,0.895
2984 RHODINYL FORMATE,1.3,0.915
2985 RHODINYL PHENYLACETATE,1.2,0.995
2986 RHODINYL PROPIONATE,1.8,0.905
2987 RHODINYL iso-VALERATE,2,0.89
"2988 *ROSE, ABSOLUTE",0.63,0.99
"2989 *ROSE, BULGARIAN, TRUE OTTO, OIL",0.51,0.865
"2990 *ROSE HIPS, EXTRACT",-,1
2991 *ROSEMARY,700,1
"2992 *ROSEMARY, OIL",3.6,0.92
"2993 *ROSE WATER, STRONGER",100,1
2994 *RUE,-,1
"2995 *RUE, OIL",1.2,0.84
2996 RUM ETHER,67,0.875
"2997 SACCHARINE, SODIUM SALT",72,1.65
2998 *SAFFRON,1.3,1
"2999 *SAFFRON, EXTRACT",7.5,1
3000 *SAGE,300,0.93
"3001 *SAGE, OIL",3.7,0.935
"3002 *SAGE, OLEORESIN",-,1
"3003 *SAGE, SPANISH, OIL",11,1
3004 SALICYLALDEHYDE,0.55,1.167
"3005 SANDALWOOD, YELLOW, OIL",2.4,0.985
3006 SANTALOL (a- and B-),2,0.985
3007 SANTALYL ACETATE,0.53,0.99
3008 SANTALYL PHENYLACETATE,1,1.06
"3009 SARSAPARILLA, EXTRACT",190,1
"3010 SASSAFRAS BARK, EXTRACT",290,1
3011 SASSAFRAS LEAVES,-,1
"3012 *SAVORY, SUMMER",-,1
"3013 *SAVORY, SUMMER, OIL",-,0.958
"3014 *SAVORY, SUMMER, OLEORESIN",-,1.05
"3015 *SAVORY, WINTER",-,1
"3016 *SAVORY, WINTER, OIL",-,0.958
"3017 *SAVORY, WINTER, OLEORESIN",-,1.05
"3018 *SCHINUS MOLLE, OIL",-,0.85
3019 SKATOLE,0.75,1.16
3020 *SLOE BERRIES,-,1
"3021 *SLOE BERRIES, EXTRACT",110,1
"3022 *SLOE BERRIES, EXTRACT SOLID",-,1
"3023 SNAKEROOT, CANADIAN, OIL",1.9,1
3024 SODIUM ACETATE,1.5,1.528
3025 SODIUM BENZOATE,350,1.5
3026 SODIUM CITRATE,490,1.76
3027 SODIUM HEXAMETAPHOSPHATE,-,2.48
3028 SORBITAN MONOSTEARATE,140,1
3029 d-SORBITOL,"1,300.00",1.49
3030 *SPEARMINT,500,1
"3031 *SPEARMINT, EXTRACT","2,100.00",1
"3032 *SPEARMINT, OIL",100,0.94
"3033 *SPIKE LAVENDER, OIL",11,0.918
"3034 SPRUCE, OIL",6.2,0.91
3035 STEARIC ACID,10,0.847
3036 STORAX,2,1
"3037 STYRAX, EXTRACT",0.84,1
3038 SUCROSE OCTAACETATE,20,1.28
3039 SULFUR DIOXIDE,180,1.43
"3040 TAGETES, OIL",4.1,0.885
"3041 *TANGERINE, OIL",90,0.853
3042 TANNIC ACID,45,1.76
3043 *TARRAGON,-,1
3044 TARTARIC ACID,960,1.76
3045 a-TERPINEOL,5.4,0.935
3046 TERPINOLENE,16,0.865
3047 TERPINYL ACETATE,3.5,0.97
3048 TERPINYL ANTHRANILATE,1.1,1.09
3049 TERPINYL BUTYRATE,6.4,0.945
3050 TERPINYL iso-BUTYRATE,2.4,0.945
3051 TERPINYL CINNAMATE,0.5,1.05
3052 TERPINYL FORMATE,3,0.985
3053 TERPINYL PROPIONATE,1.5,0.96
3054 TERPINYL iso-VALERATE,5,0.94
3055 TETRAHYDROFURFURYL ACETATE,2,1.045
3056 TETRAHYDROFURFURYL ALCOHOL,14,1.055
3057 TETRAHYDROFURFURYL BUTYRATE,0.9,1.005
3058 TETRAHYDROFURFURYL PROPIONATE,2,1.025
3059 TETRAHYDRO-pseudo-IONONE,0.5,0.88
3060 TETRAHYDROLINALOOL,1.3,0.835
3061 TETRAMETHYL ETHYLCYCLOHEXENONE,5,0.91
3062 2-THIENYL MERCAPTAN,-,1.09
3063 *THYME,13,1
"3064 *THYME, OIL",5,0.95
"3065 *THYME, WHITE, OIL",1,1
3066 THYMOL,11,0.979
3067 TOLUALDEHYDE GLYCERYL ACETAL,6,1.11
"3068 TOLUALDEHYDES (Mixed o-, m-, p-)",11,1.02
