FEMA No. and Substance,Beverages (ppm),Density
"2095 *ANISE, STAR—Illicium verum Hook. f.",13,1
"2096 ANISE, STAR, OIL—Illicium verum Hook. f.",12,0.988
2097 ANISOLE—Methoxybenzene,9,0.995
2098 ANISYL ACETATE—p-Methoxybenzyl acetate,6.3,1.104
2099 ANISYL ALCOHOL—p-Methoxybenzyl alcohol,7.4,1.115
2100 ANISYL BUTYRATE—p-Methoxybenzyl butyrate,3.1,1.062
2101 ANISYL FORMATE—p-Methoxybenzyl formate,3.2,1.122
2102 ANISYL PROPIONATE,5.6,1.084
"2103 ANNATTO, EXTRACT [Bixa orellana L.]",25,1
"2104 ANNATTO, SEED [Bixa orellana L.]",-,1
"2105 *APRICOT KERNEL, OIL—Persic oil",150,1
"2106 ASAFETIDA, FLUID EXTRACT",4,1
"2107 ASAFETIDA, GUM—Ferula assa-foetida L.",5,1
"2108 *ASAFETIDA, OIL—Ferula assa-foetida L.",-,1
2109 ASCORBIC ACID—Vitamin C,130,1
"2110 *ASH BARK, PRICKLY, EXTRACT",59,1
2111 *BALM [Melissa officinalis L.],-,1
"2112 *BALM LEAVES, EXTRACT [Melissa officinalis L.]",2000,1
"2113 *BALM, OIL [Melissa officinalis L.]",8.5,1
"2114 BALSAM FIR, OIL—Abies balsamea (L.) Mill.",4.5,0.878
"2115 BALSAM FIR, OLEORESIN—Abies balsamea (L.) Mill.",0.2,1
"2116 *BALSAM, PERU—Myroxylon pereirae Klotzsch",3,1.16
"2117 *BALSAM, PERU, OIL—Myroxylon pereirae Klotzsch",3.2,1.11
2118 *BASIL—Ocimum basilicum L.,2.5,1
"2119 *BASIL, OIL—Ocimum basilicum L.",2,0.92
"2120 *BASIL, OLEORESIN—Ocimum basilicum L.",-,1
"2121 *BAY LEAVES, WEST INDIAN, EXTRACT",0.67,1
"2122 *BAY LEAVES, WEST INDIAN, OIL",1.5,0.99
"2123 *BAY LEAVES, WEST INDIAN, OLEORESIN",-,1
"2124 *BAY, SWEET—Laurus nobilis L.",2.5,1
"2125 *BAY, SWEET, OIL—Laurus nobilis L.",2,0.929
"2126 BEESWAX, WHITE [Apis mellifera L.]",0.5,0.96
2127 BENZALDEHYDE—Benzenecarbonal,36,1.046
